PRODUCT_TYPE_NAME,PRODUCT_CLASS_NAME,PRODUCT_SUB_CLASS_NAME,PRODUCT_MINOR_CLASS_NAME,PRODUCT_COUNTRY_ORIGIN_NAME,PRODUCT_SKU_NO,PRODUCT_LONG_NAME,PRODUCT_BASE_UPC_NO,PRODUCT_LITRES_PER_CONTAINER,PRD_CONTAINER_PER_SELL_UNIT,PRODUCT_ALCOHOL_PERCENT,CURRENT_DISPLAY_PRICE,SWEETNESS_CODE
LIQUOR,WINE,TABLE WINE,TABLE WINE RED,ARGENTINA,1669,MALBEC - TRIVENTO GOLDEN RESERVE LUJAN DE CUYO 11/12,7798039590625,0.75,1,14.8,22.99,0
LIQUOR,WINE,TABLE WINE,TABLE WINE RED,SPAIN,169383,JUMILLA - EL PETIT BONHOMME,8437005068711,0.75,1,14.5,14.99,0
LIQUOR,WINE,TABLE WINE,TABLE WINE WHITE,FRANCE,169730,LANGUEDOC GRENACHE BLANC MARSANNE - MYTHIQUE,3308440041780,0.75,1,13,11.87,0
LIQUOR,WINE,TABLE WINE,TABLE WINE RED,AUSTRALIA,171991,SHIRAZ VIOGNIER - BLACK CHOOK MCLAREN VALE 12/13,872174000069,0.75,1,14.5,19.99,0
LIQUOR,BEER,BEER,BEER,CANADA,172031,PHILLIPS - LONGBOAT CHOCOLATE PORTER,626990036630,0.65,1,5.5,4.99,NA
LIQUOR,BEER,BEER,BEER,CANADA,172163,PHILLIPS - AMNESIAC DOUBLE IPA,626990036647,0.65,1,8.5,5.5,NA
LIQUOR,WINE,TABLE WINE,TABLE WINE RED,ITALY,175141,VELLETRI RISERVA - CO.PRO.VI TERRE DEI VOLACI 08,8004753000500,0.75,1,12,19.99,0
LIQUOR,WINE,TABLE WINE,TABLE WINE RED,SPAIN,175372,YECLA - CASTANO SOLANERA 2012,8422443002892,0.75,1,14.5,21.99,0
LIQUOR,BEER,BEER,BEER,CANADA,175612,STROH CANADA - PABST BLUE RIBBON CAN,56910403158,0.355,15,4.9,20.25,NA
LIQUOR,BEER,BEER,BEER,UNITED STATES OF AMERICA,17566,KINGFISHER PREMIUM LAGER,92212121314,0.355,6,5,13.99,NA
